*Soil Inorganic Nitrogen daily output file

*DSSAT Cropping System Model Ver. 4.7.2.000 -release      OCT 15, 2021; 17:59:32
                                                                                
*RUN   1        :             CSM335_date_1 MZCER047 ITSA1301    1              
 MODEL          : MZCER047 - Maize                                              
 EXPERIMENT     : ITSA1301 SG CALIBRATION SETUP OF SORGHUM SOWING DATES         
 DATA PATH      :                                                               
 TREATMENT  1   :             CSM335_date_1 MZCER047                            
  
!                                                    NO3 (ppm) by soil depth (cm):                   NH4 (ppm) by soil depth (cm):
!                                                     0-5    5-15   15-30   30-60   60-90  90-120     0-5    5-15   15-30   30-60   60-90  90-120
@YEAR DOY   DAS  NAPC  NI#M    NIAD   NITD   NHTD    NI1D    NI2D    NI3D    NI4D    NI5D    NI6D    NH1D    NH2D    NH3D    NH4D    NH5D    NH6D    NMNC    NITC    NDNC    NIMC    AMLC   NNMNC    NUCM    NLCC    TDFC
 2014 127     0     0     0    10.2    0.0   10.2    0.00    0.00    0.00    0.00    0.00    0.00    0.60    0.60    0.60    0.60    0.60    0.60    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
 2014 128     1     0     0    10.4    1.7    8.7    0.10    0.10    0.10    0.10    0.10    0.11    0.67    0.51    0.51    0.50    0.50    0.50    0.21    1.74    0.00    0.03    0.00    0.18    0.00    0.00    0.00
 2014 129     2     0     0    10.7    3.2    7.5    0.21    0.19    0.18    0.18    0.19    0.19    0.86    0.44    0.44    0.42    0.41    0.41    0.54    3.21    0.00    0.08    0.00    0.46    0.00    0.00    0.00
 2014 130     3     0     0    11.1    4.4    6.6    0.30    0.29    0.26    0.25    0.26    0.26    1.13    0.41    0.39    0.35    0.35    0.34    0.99    4.46    0.00    0.15    0.00    0.85    0.00    0.00    0.00
 2014 131     4     0     0    11.7    5.4    6.2    0.32    0.38    0.32    0.31    0.31    0.32    1.44    0.55    0.34    0.30    0.29    0.28    1.71    5.46    0.00    0.25    0.00    1.46    0.00    0.00    0.00
 2014 132     5     0     0    12.5    6.4    6.1    0.58    0.47    0.38    0.35    0.36    0.36    1.60    0.86    0.30    0.25    0.24    0.24    2.74    6.45    0.00    0.40    0.00    2.34    0.00    0.00    0.00
 2014 133     6     0     0    13.4    7.4    6.0    0.87    0.61    0.42    0.38    0.39    0.40    1.72    1.10    0.27    0.21    0.21    0.20    3.71    7.41    0.00    0.55    0.00    3.16    0.00    0.00    0.00
 2014 134     7     0     0    14.2    8.3    5.8    0.97    0.81    0.51    0.41    0.42    0.43    1.82    1.29    0.24    0.18    0.17    0.17    4.66    8.35    0.00    0.69    0.00    3.97    0.00    0.00    0.00
 2014 135     8     0     0    15.1    9.1    6.1    1.38    0.85    0.56    0.44    0.45    0.46    1.91    1.56    0.29    0.15    0.15    0.14    5.81    9.10    0.00    0.87    0.00    4.94    0.00    0.00    0.00
 2014 136     9     0     0    16.1   10.1    6.1    1.64    1.14    0.62    0.46    0.47    0.48    1.92    1.68    0.35    0.13    0.12    0.12    6.98   10.10    0.00    1.05    0.00    5.94    0.00    0.00    0.00
 2014 137    10     0     0    17.2   11.1    6.1    1.35    1.31    0.95    0.49    0.48    0.49    1.97    1.78    0.41    0.11    0.10    0.10    8.26   11.11    0.00    1.25    0.00    7.01    0.00    0.00    0.00
 2014 138    11     0     0    18.9   11.8    7.0    1.44    1.31    1.10    0.55    0.50    0.51    2.03    2.02    0.76    0.09    0.09    0.08   10.23   11.87    0.00    1.55    0.00    8.68    0.00    0.00    0.00
 2014 139    12     0     0    20.4   12.5    7.9    1.85    1.39    1.12    0.58    0.51    0.52    2.08    2.24    1.08    0.08    0.07    0.07   12.05   12.56    0.00    1.84    0.00   10.22    0.00    0.00    0.00
 2014 140    13     0     0    22.1   13.3    8.7    2.48    1.49    1.16    0.60    0.52    0.53    2.10    2.44    1.39    0.07    0.06    0.06   14.01   13.36    0.00    2.16    0.00   11.85    0.00    0.00    0.00
