*Soil Inorganic Nitrogen daily output file

*DSSAT Cropping System Model Ver. 4.7.2.000 -release      OCT 15, 2021; 17:59:35
                                                                                
*RUN   1        :             CSM335_date_1 MZCER047 ITSA1301    1              
 MODEL          : MZCER047 - Maize                                              
 EXPERIMENT     : ITSA1301 SG CALIBRATION SETUP OF SORGHUM SOWING DATES         
 DATA PATH      :                                                               
 TREATMENT  1   :             CSM335_date_1 MZCER047                            
  
!                                                    NO3 (ppm) by soil depth (cm):                   NH4 (ppm) by soil depth (cm):
!                                                     0-5    5-15   15-30   30-53   53-77  77-100     0-5    5-15   15-30   30-53   53-77  77-100
@YEAR DOY   DAS  NAPC  NI#M    NIAD   NITD   NHTD    NI1D    NI2D    NI3D    NI4D    NI5D    NI6D    NH1D    NH2D    NH3D    NH4D    NH5D    NH6D    NMNC    NITC    NDNC    NIMC    AMLC   NNMNC    NUCM    NLCC    TDFC
 2014 280     0     0     0     8.4    0.0    8.4    0.00    0.00    0.00    0.00    0.00    0.00    0.60    0.60    0.60    0.60    0.60    0.60    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
 2014 281     1     0     0     9.4    1.0    8.4    0.08    0.08    0.07    0.07    0.07    0.07    0.80    0.74    0.74    0.53    0.54    0.54    1.17    1.03    0.00    0.13    0.00    1.04    0.00    0.00    0.00
 2014 282     2     0     0    10.4    2.0    8.4    0.17    0.17    0.16    0.14    0.14    0.13    0.94    0.86    0.86    0.48    0.48    0.48    2.30    2.06    0.00    0.26    0.00    2.04    0.00    0.00    0.00
 2014 283     3    18     1    29.5    3.1   26.4    0.32    0.27    0.27    0.20    0.19    0.19   26.87    0.97    0.97    0.43    0.43    0.43    3.53    3.12    0.00    0.40    0.00    3.13    0.00    0.00    0.00
 2014 284     4    18     1    30.5    7.3   23.2    4.97    0.40    0.40    0.25    0.25    0.24   22.47    1.05    1.06    0.38    0.38    0.39    4.76    7.40    0.00    0.57    0.00    4.19    0.00    0.00    0.00
 2014 285     5    18     1    31.5   10.9   20.6    8.71    0.54    0.54    0.30    0.29    0.29   18.98    1.13    1.14    0.34    0.34    0.35    5.99   11.03    0.00    0.74    0.00    5.25    0.00    0.00    0.00
 2014 286     6    18     1    32.5   13.9   18.6   11.66    0.69    0.69    0.34    0.34    0.34   16.26    1.19    1.20    0.30    0.31    0.31    7.18   14.09    0.00    0.90    0.00    6.28    0.00    0.00    0.00
 2014 287     7    18     1    33.5   16.6   16.9   14.08    0.85    0.86    0.38    0.38    0.38   14.06    1.23    1.26    0.27    0.28    0.28    8.36   16.79    0.00    1.06    0.00    7.30    0.00    0.00    0.00
 2014 288     8    18     1    34.5   18.9   15.6   13.14    2.47    1.03    0.42    0.42    0.41   12.30    1.27    1.30    0.24    0.25    0.25    9.51   19.15    0.00    1.21    0.00    8.30    0.00    0.00    0.00
 2014 289     9    18     1    35.6   21.7   13.9   15.24    2.95    1.21    0.45    0.45    0.45   10.01    1.34    1.34    0.22    0.22    0.23   10.89   22.01    0.00    1.40    0.00    9.49    0.00    0.00    0.00
 2014 290    10    18     1    36.7   24.0   12.7   10.57    5.70    1.88    0.47    0.47    0.47    8.49    1.39    1.36    0.20    0.20    0.21   12.14   24.24    0.00    1.57    0.00   10.57    0.00    0.00    0.00
 2014 291    11    18     1    38.0   26.3   11.8   11.82    5.80    2.40    0.49    0.49    0.49    7.04    1.49    1.40    0.18    0.19    0.19   13.72   26.55    0.00    1.79    0.00   11.93    0.00    0.00    0.00
 2014 292    12    18     1    39.5   28.4   11.1    7.00    5.88    4.21    0.94    0.51    0.51    5.97    1.57    1.46    0.17    0.17    0.18   15.39   28.66    0.00    2.02    0.00   13.37    0.00    0.00    0.00
 2014 293    13    18     1    41.0   30.4   10.6    4.20    4.00    4.55    2.38    0.86    0.53    5.11    1.60    1.56    0.15    0.16    0.16   17.18   30.66    0.00    2.27    0.00   14.91    0.00    0.00    0.00
 2014 294    14    18     1    42.3   32.1   10.2    4.54    3.57    4.15    2.68    1.43    0.54    4.51    1.61    1.59    0.14    0.15    0.15   18.71   32.40    0.00    2.49    0.00   16.22    0.00    0.00    0.00
 2014 295    15    18     1    43.7   33.7   10.0    5.68    3.42    3.88    2.71    1.69    0.74    4.08    1.66    1.64    0.13    0.14    0.14   20.35   34.02    0.01    2.71    0.00   17.63    0.00    0.00    0.00
 2014 296    16    18     1    45.1   35.2    9.9    6.12    3.73    3.82    2.67    1.79    0.94    3.74    1.72    1.69    0.13    0.14    0.14   22.00   35.54    0.01    2.94    0.00   19.06    0.07    0.00    0.00
 2014 297    17    18     1    46.1   36.4    9.7    6.71    3.87    3.86    2.64    1.83    1.09    3.41    1.75    1.74    0.12    0.13    0.13   23.60   36.99    0.02    3.15    0.00   20.45    0.37    0.00    0.00
 2014 298    18    18     1    47.2   37.5    9.6    8.09    3.94    3.91    2.58    1.81    1.17    3.14    1.78    1.78    0.12    0.13    0.13   25.22   38.41    0.02    3.36    0.00   21.85    0.71    0.00    0.00
 2014 299    19    18     1    48.1   38.6    9.5    9.51    3.98    3.99    2.54    1.81    1.17    2.91    1.78    1.80    0.12    0.12    0.12   26.82   39.84    0.02    3.58    0.00   23.24    1.15    0.00    0.00
 2014 300    20    18     1    48.9   39.7    9.3    7.60    5.34    4.26    2.50    1.80    1.18    2.71    1.75    1.80    0.11    0.12    0.12   28.33   41.24    0.02    3.78    0.00   24.55    1.63    0.00    0.00
 2014 301    21    18     1    49.8   40.7    9.1    8.68    5.45    4.39    2.46    1.79    1.19    2.49    1.74    1.79    0.11    0.12    0.12   30.01   42.78    0.02    4.00    0.00   26.01    2.23    0.00    0.00
 2014 302    22    18     1    50.5   41.6    8.8   10.42    5.32    4.40    2.42    1.79    1.20    2.32    1.72    1.77    0.11    0.11    0.11   31.68   44.31    0.02    4.23    0.00   27.45    2.96    0.00    0.00
 2014 303    23    18     1    51.1   42.5    8.6    4.02    6.07    5.61    2.86    1.87    1.22    2.18    1.69    1.74    0.10    0.11    0.11   33.33   45.82    0.02    4.45    0.00   28.88    3.78    0.00    0.00
 2014 304    24    18     1    51.8   43.4    8.4    4.05    5.36    5.68    3.17    2.01    1.31    2.01    1.65    1.71    0.10    0.11    0.11   35.03   47.40    0.02    4.69    0.00   30.35    4.51    0.00    0.00
 2014 305    25    18     1    52.3   44.1    8.2    4.79    5.03    5.52    3.28    2.11    1.38    1.92    1.63    1.68    0.10    0.11    0.11   36.76   48.90    0.02    4.92    0.00   31.84    5.40    0.09    0.00
 2014 306    26    18     1    52.6   44.6    8.1    3.66    4.64    5.60    3.53    2.27    1.48    1.85    1.63    1.66    0.10    0.11    0.11   38.46   50.35    0.02    5.15    0.00   33.31    6.34    0.30    0.00
 2014 307    27    18     1    52.5   44.7    7.9    3.98    4.26    5.33    3.61    2.39    1.57    1.75    1.61    1.62    0.10    0.10    0.11   40.06   51.72    0.02    5.36    0.00   34.69    7.51    0.59    0.00
 2014 308    28    18     1    52.9   45.0    7.9    3.93    4.20    5.23    3.64    2.48    1.65    1.73    1.62    1.62    0.10    0.10    0.10   41.55   52.93    0.03    5.55    0.00   36.00    8.15    0.92    0.00
 2014 309    29    18     1    52.5   44.7    7.8    4.92    4.15    4.96    3.49    2.47    1.68    1.70    1.62    1.60    0.10    0.10    0.10   43.11   54.18    0.04    5.75    0.00   37.36    9.34    1.46    0.00
 2014 310    30    18     1    50.3   42.8    7.5    5.84    3.93    4.52    3.16    2.43    1.69    1.61    1.54    1.53    0.10    0.10    0.10   44.59   55.34    0.04    5.93    0.00   38.66   12.77    1.46    0.00
 2014 311    31    18     1    50.0   42.6    7.4    3.49    4.34    4.88    3.20    2.40    1.69    1.58    1.53    1.51    0.10    0.10    0.10   45.97   56.44    0.04    6.10    0.00   39.87   14.34    1.46    0.00
 2014 312    32    18     1    50.0   42.7    7.4    3.32    4.01    4.90    3.27    2.47    1.74    1.53    1.53    1.52    0.10    0.10    0.10   47.50   57.64    0.04    6.28    0.00   41.21   15.60    1.46    0.00
 2014 313    33    18     1    48.9   41.6    7.3    3.75    3.74    4.54    3.14    2.46    1.80    1.50    1.51    1.49    0.10    0.10    0.10   49.13   58.90    0.04    6.47    0.00   42.65   17.80    1.87    0.00
 2014 314    34    18     1    47.7   40.5    7.2    2.31    3.20    4.54    3.26    2.49    1.85    1.49    1.49    1.47    0.10    0.10    0.10   50.70   60.09    0.04    6.66    0.00   44.04   20.29    1.96    0.00
 2014 315    35    18     1    46.9   39.7    7.1    1.83    2.73    4.17    3.35    2.60    1.97    1.45    1.48    1.46    0.10    0.10    0.10   52.21   61.29    0.04    6.83    0.00   45.38   22.08    2.31    0.00
 2014 316    36    18     1    45.4   38.3    7.0    1.44    2.28    3.69    3.28    2.68    2.12    1.41    1.46    1.45    0.10    0.10    0.10   53.64   62.41    0.04    6.98    0.00   46.66   24.17    2.97    0.00
 2014 317    37    18     1    43.1   36.2    6.9    1.43    2.01    3.23    3.01    2.61    2.21    1.37    1.43    1.42    0.10    0.10    0.10   55.07   63.50    0.04    7.13    0.00   47.94   26.89    3.81    0.00
 2014 318    38    18     1    41.0   34.1    6.9    1.16    1.79    2.91    2.79    2.50    2.25    1.35    1.42    1.41    0.10    0.10    0.10   56.50   64.54    0.04    7.27    0.00   49.23   29.41    4.72    0.00
 2014 319    39    18     1    38.6   31.8    6.8    1.14    1.62    2.62    2.53    2.34    2.24    1.32    1.40    1.39    0.10    0.10    0.10   57.84   65.52    0.06    7.40    0.00   50.43   32.06    5.62    0.00
 2014 320    40    18     1    35.1   28.4    6.7    1.18    1.50    2.29    2.18    2.07    2.08    1.31    1.38    1.37    0.10    0.10    0.10   59.19   66.45    0.07    7.53    0.00   51.66   34.96    7.39    0.00
 2014 321    41    18     1    32.9   26.2    6.6    1.32    1.49    2.17    1.93    1.83    1.97    1.31    1.36    1.35    0.10    0.10    0.10   60.62   67.38    0.08    7.67    0.00   52.95   38.19    7.69    0.00
 2014 322    42    18     1    30.1   23.7    6.4    1.08    1.48    2.05    1.67    1.57    1.83    1.28    1.31    1.30    0.10    0.10    0.10   61.95   68.25    0.08    7.79    0.00   54.16   42.11    7.69    0.00
 2014 323    43    18     1    28.7   22.2    6.4    1.09    1.46    2.02    1.54    1.42    1.70    1.27    1.31    1.30    0.10    0.10    0.10   63.36   69.17    0.08    7.91    0.00   55.44   44.85    7.69    0.00
 2014 324    44    18     1    27.7   21.2    6.5    0.84    1.41    2.01    1.47    1.36    1.59    1.28    1.32    1.31    0.10    0.10    0.10   64.79   70.10    0.08    8.04    0.00   56.74   47.13    7.69    0.00
 2014 325    45    18     1    25.7   19.4    6.4    0.84    1.29    1.86    1.33    1.22    1.45    1.23    1.29    1.29    0.10    0.10    0.10   66.13   71.00    0.08    8.16    0.00   57.97   50.25    7.77    0.00
 2014 326    46    18     1    23.3   17.1    6.2    0.87    1.18    1.65    1.15    1.05    1.27    1.21    1.25    1.25    0.11    0.10    0.10   67.48   71.85    0.08    8.28    0.00   59.20   53.66    8.03    0.00
